Definitions,Contact us,About you,1. Role [converted area],1. Role [converted seniority],2. Institution [converted],Technical features,3. Admin control over data movement,3.1.a. Ingress (data entering the environment),3.2.a. Egress (data leaving the environment),3.3.a. Streaming ingress (trusted sources can move data in without review for each event),4. User authentication,4.1.a. Multi-factor authentication,4.2.a. Federated authentication / single sign-on,5. Network connectivity,5.1.a. Configurable connectivity between workspaces,5.2.a. Configurable connectivity between a project and resources outside the TRE,5.a. Any other comments on network connectivity? [removed],6. Ability to forbid copy and paste,6.1.a. From inside to outside,6.2.a. From outside to inside,7. User experience,7.1.a. Windows desktop,7.2.a. Linux desktop,7.3.a. Command line,"7.4.a. Non-desktop interfaces e.g. JupyterLab, webapps",7.a. Which non-desktop interfaces are important to you? [converted],8. Programming language support,"8.1.a. Support for common data science, statistics, ML programming languages (e.g. Python, R)",8.a. Which programming languages are important to you? [converted],"9. Enable users to install packages from selected external repositories (e.g. PyPI, CRAN, Conda, Maven)",9.1.a. Any package,9.2.a. A curated subset of packages,9.a. Which repositories are important to you? [converted],10. Commercially licenced software,10.1.a. Ability to use specific commercial software,"10.2.a. Further, software that connects to an external licensing server (e.g. SAS)",10.a. Which commercially licenced software is important to you? [converted],11. Containerisation,"11.1.a. Support for running containers (e.g. Docker, Podman, Apptainer)",12. Logging,12.1.a. User actions inside the TRE,12.2.a. Network connection attempts,"12.3.a. Infrastructure actions (e.g. adding compute, modifying network configuration)",12.4.a. Data access,12.5.a. Real time user and data access logs,13. Automatic updates,13.1.a. Software installed on workspaces,"13.2.a. User infrastructure (e.g. remote desktop portal, databases, webapps)","13.3.a. Management infrastructure (e.g. logging, configuration management controller)",13.4.a. Anti-virus/malware,14. Compliance checking,14.1.a. Vulnerability/security scanning of infrastructure,14.2.a. Machine/resource configuration,15. Automatic backup,15.1.a. Input data,15.2.a. User data (e.g. working files),15.3.a. Workspaces,16. Customisable compute resources,"16.1.a. Ability to scale compute (CPU, memory)",16.2.a. Accelerators such as GPUs,17. Additional compute beyond workspaces,"17.1.a. HPC-like resources (i.e. performant hardware, job queue)","17.2.a. Big data and data analytics tools (e.g. Spark, Hadoop)","17.3.a. Integrating with cloud-native managed services (e.g. SageMaker, Athena, Azure ML, Databricks)",18. Collaborative/shared tools,18.1.a. Git server (e.g. GitLab/Gitea),18.2.a. Document writing (e.g. CodiMD),"18.3.a. Databases (e.g. PostgreSQL, MSSQL, MongoDB)","18.4.a. Collaborative coding, visualisation (e.g. Jupyter)",19. Limiting direct access to data/code,"19.1.a. Users have no direct access to data, submit pipelines or batch jobs, only results are returned",19.2.a. TRE admins don't have access to researcher’s analysis code,20. Reproducible deployments,20.1.a. Reproducible TRE deployments (e.g. through infrastructure as code),21. Additional technical features: describe other technical features we may have missed and how important they are. [removed],22. Additional comments: share any other thoughts and feelings on technical features. [removed],Policies and processes,23. Sensitivity tiering,23.1.a. Support data of different levels of sensitivity,23.2.a. Preset security configurations which can be applied to multiple projects (e.g. a tiered system),23.a. Are there sensitivity systems that you think are important or use? [removed],24. Which aspects of governance would it be important or useful to standardise,24.1.a. Terms of use,24.2.a. Safe people training users,24.3.a. Safe people training admins,24.4.a. Data ingress and egress processes,24.5.a. Roles and responsibilities,24.a. Additional aspects of governance: Briefly describe other aspects of governance we may have missed and how important they are. [removed],25. Additional comments: share any other thoughts and feelings on policies and processes. [removed],CompletionDate [removed]
,,,Research,Standard,University,,,Essential,Essential,No opinion,,Essential,No opinion,,Essential,Essential,,,Essential,Important,,Essential,No opinion,No opinion,Important,,,Essential,stata,,Important,Important,,,Essential,No opinion,,,No opinion,,Essential,No opinion,No opinion,No opinion,No opinion,,Nice to have,Essential,Nice to have,Essential,,No opinion,No opinion,,Important,Important,Important,,No opinion,No opinion,,No opinion,No opinion,No opinion,,Nice to have,No opinion,No opinion,Nice to have,,Not important,Not important,,No opinion,,,,,No opinion,No opinion,,,Nice to have,Essential,Essential,Nice to have,Nice to have,,,
,,,Research,Standard,University,,,No opinion,No opinion,No opinion,,Important,Essential,,Nice to have,Important,,,Essential,Important,,Essential,Nice to have,Nice to have,No opinion,,,Essential,r,,Nice to have,Essential,,,Nice to have,Nice to have,,,No opinion,,Essential,Essential,Nice to have,Essential,Essential,,Nice to have,Nice to have,Essential,Important,,Essential,Essential,,Important,Essential,Essential,,No opinion,No opinion,,No opinion,No opinion,No opinion,,No opinion,No opinion,No opinion,No opinion,,No opinion,Not important,,No opinion,,,,,Nice to have,Nice to have,,,Essential,Important,Important,Essential,Essential,,,
,,,Technical,Lead,Industry,,,Essential,Essential,Essential,,Essential,Essential,,No opinion,No opinion,,,Essential,Essential,,Essential,Essential,Essential,Essential,,,Essential,,,Nice to have,Nice to have,,,Nice to have,Nice to have,,,Important,,Essential,Essential,Essential,Essential,Essential,,Nice to have,Essential,Essential,Essential,,Essential,Essential,,Essential,Nice to have,Nice to have,,Essential,Essential,,Important,Important,Essential,,Essential,Important,Important,Important,,Essential,Essential,,Essential,,,,,Essential,Essential,,,Essential,Essential,Essential,Essential,Essential,,,
,,,Technical,Standard,University,,,Essential,Essential,Nice to have,,Essential,Nice to have,,Not important,Nice to have,,,Essential,Important,,Essential,Not important,Not important,Nice to have,,,Essential,,,Not important,Important,,,Important,Nice to have,matlab;spss;stata,,Not important,,Essential,Important,Essential,Important,Nice to have,,Nice to have,Important,Nice to have,Essential,,Important,Important,,Important,Essential,Nice to have,,Essential,Nice to have,,Nice to have,Nice to have,No opinion,,Not important,No opinion,Important,No opinion,,Not important,Not important,,Nice to have,,,,,Important,Nice to have,,,Important,Important,Important,Essential,Important,,,
,,,Data,Senior,University,,,Essential,Essential,Important,,Essential,Important,,Important,Important,,,Nice to have,Important,,Nice to have,Nice to have,Nice to have,Nice to have,,,Essential,julia;python;r,,Important,Essential,anaconda;cran,,Nice to have,Nice to have,,,Nice to have,,Nice to have,Nice to have,Important,Important,Important,,No opinion,No opinion,No opinion,No opinion,,No opinion,No opinion,,No opinion,Nice to have,No opinion,,Important,Important,,Nice to have,Nice to have,Nice to have,,Essential,Nice to have,Important,Important,,Nice to have,Not important,,Nice to have,,,,,Important,Important,,,No opinion,No opinion,No opinion,No opinion,No opinion,,,
,,,Management,Standard,NHS,,,Essential,Essential,Essential,,Essential,Important,,Nice to have,Essential,,,Essential,Essential,,Essential,Essential,Nice to have,Important,,,Essential,,,Not important,Essential,,,Essential,Essential,,,Important,,Essential,Essential,Essential,Essential,Nice to have,,Important,Important,Essential,Essential,,Essential,Essential,,Essential,Essential,Not important,,Essential,Important,,Important,Nice to have,Important,,Essential,No opinion,Essential,Essential,,Essential,Not important,,Essential,,,,,Essential,No opinion,,,Essential,Essential,Essential,Essential,Essential,,,
,,,Research,Standard,Research institution,,,Essential,Essential,Important,,Essential,Nice to have,,Important,Nice to have,,,Essential,Not important,,Important,Important,Essential,Nice to have,,,Essential,python;r,,Important,Essential,,,Nice to have,Nice to have,,,No opinion,,Nice to have,Important,Important,Important,Nice to have,,Important,Essential,Essential,Essential,,Important,Important,,Nice to have,Important,Important,,Essential,Important,,Nice to have,Nice to have,Nice to have,,Important,Important,Essential,Important,,Not important,Not important,,Nice to have,,,,,Important,Important,,,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,
,,,Technical,Standard,University,,,Essential,Essential,Important,,Important,Important,,Important,Not important,,,Essential,Essential,,Important,Nice to have,Nice to have,Nice to have,jupyter,,Essential,stata,,Not important,Important,,,Important,No opinion,office;stata,,No opinion,,Nice to have,No opinion,No opinion,Important,Essential,,Important,No opinion,No opinion,No opinion,,No opinion,No opinion,,Essential,Essential,No opinion,,Important,Important,,Important,No opinion,No opinion,,No opinion,No opinion,No opinion,No opinion,,Not important,Not important,,No opinion,,,,,Nice to have,Nice to have,,,Important,Essential,Essential,Essential,Important,,,
,,,Research,Standard,University,,,Essential,Essential,Nice to have,,Important,Important,,Nice to have,Nice to have,,,No opinion,Nice to have,,Essential,Essential,Essential,No opinion,commandline,,Important,python;r,,Nice to have,Essential,anaconda;cran,,Nice to have,Nice to have,gitkraken;matlab;sas;spss,,Essential,,Important,Nice to have,Nice to have,Important,Nice to have,,Important,Important,Important,Important,,Essential,Essential,,Essential,Essential,Essential,,Essential,Essential,,Important,Essential,Important,,Essential,Essential,Essential,Essential,,Nice to have,No opinion,,Nice to have,,,,,Essential,Essential,,,Essential,Essential,Essential,Nice to have,Nice to have,,,
,,,Data,Standard,Research institution,,,No opinion,Essential,Essential,,No opinion,No opinion,,No opinion,Essential,,,No opinion,No opinion,,No opinion,No opinion,No opinion,No opinion,commandline,,No opinion,,,Not important,Important,,,Nice to have,Nice to have,,,Essential,,No opinion,Essential,Essential,Essential,No opinion,,No opinion,No opinion,No opinion,No opinion,,No opinion,No opinion,,No opinion,No opinion,No opinion,,Nice to have,Nice to have,,Essential,Nice to have,Nice to have,,Essential,No opinion,Essential,No opinion,,No opinion,No opinion,,Essential,,,,,Essential,Essential,,,No opinion,No opinion,No opinion,Essential,Essential,,,
,,,,,,,,Important,Essential,Nice to have,,Essential,Important,,Nice to have,Nice to have,,,Essential,Essential,,Nice to have,Important,Essential,Essential,jupyter,,Important,julia;python;r,,Nice to have,Essential,anaconda;bioconda;bioconductor;cran;pypi,,Nice to have,Nice to have,,,Essential,,Essential,Essential,Essential,Essential,Important,,No opinion,No opinion,No opinion,No opinion,,Important,Important,,Essential,Essential,Important,,Essential,Important,,Nice to have,Nice to have,Nice to have,,Nice to have,Nice to have,Nice to have,Nice to have,,Important,No opinion,,Important,,,,,Nice to have,Nice to have,,,Nice to have,Nice to have,Important,Important,Important,,,
,,,Technical,Standard,University,,,Essential,Essential,Essential,,Essential,Important,,Important,Nice to have,,,Important,Important,,Important,Essential,Essential,Important,,,Essential,python;r,,Nice to have,Essential,cran;pypi,,Important,Nice to have,,,Important,,Important,Essential,Essential,Important,Nice to have,,Important,Important,Essential,Essential,,Essential,Essential,,Essential,Nice to have,Important,,Essential,Important,,Important,Important,Nice to have,,Essential,Nice to have,Essential,Important,,Important,Important,,Essential,,,,,Nice to have,Important,,,Important,Essential,Essential,Important,Essential,,,
,,,Management,Senior,University,,,Essential,Essential,Nice to have,,Essential,Important,,Not important,Not important,,,Essential,Essential,,Essential,Important,Essential,Important,docker,,Essential,,,Important,Essential,,,Essential,Essential,,,Essential,,Essential,Essential,Essential,Essential,Essential,,Essential,Essential,Essential,Essential,,Essential,Essential,,Essential,Essential,Essential,,Essential,Essential,,Important,Nice to have,No opinion,,Essential,Essential,Essential,Essential,,Not important,Not important,,Nice to have,,,,,No opinion,No opinion,,,Important,Essential,Essential,Important,Essential,,,
,,,Research,Standard,University,,,Important,Important,No opinion,,Important,Important,,No opinion,Nice to have,,,Not important,Not important,,Important,Important,Important,Nice to have,,,Essential,python;r,,No opinion,Nice to have,,,No opinion,No opinion,,,No opinion,,Important,Important,Important,Important,Important,,Important,Important,Nice to have,Essential,,Important,No opinion,,Important,Essential,Important,,No opinion,No opinion,,No opinion,No opinion,No opinion,,Nice to have,No opinion,No opinion,Not important,,No opinion,No opinion,,Important,,,,,No opinion,No opinion,,,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,
,,,Research,Senior,Research institution,,,Essential,Essential,Essential,,Essential,Nice to have,,Important,Nice to have,,,Essential,Important,,Nice to have,Essential,Essential,Important,jupyter;rstudio,,Essential,python;r,,Nice to have,Important,,,Important,No opinion,,,Important,,Nice to have,Important,Important,Essential,Essential,,Essential,Essential,Essential,Essential,,Essential,Essential,,Essential,Essential,Essential,,Essential,Important,,Important,Nice to have,Nice to have,,Important,No opinion,Important,No opinion,,Not important,Not important,,Essential,,,,,Nice to have,Nice to have,,,Essential,Essential,Essential,Essential,Essential,,,
,,,Research,Senior,University,,,Essential,Essential,Essential,,Essential,Important,,Important,Nice to have,,,Essential,Not important,,Essential,Essential,Nice to have,Important,,,Essential,python;r;shell,,Nice to have,Essential,anaconda;bioconda;cran;distribution,,Important,No opinion,,,Important,,Nice to have,Important,Important,Essential,Nice to have,,Not important,Nice to have,Important,Essential,,Essential,No opinion,,Not important,Important,Essential,,Important,Important,,Important,Nice to have,Nice to have,,Essential,Nice to have,Essential,Nice to have,,Not important,Not important,,Essential,,,,,Important,Important,,,Important,Important,Important,Essential,Essential,,,
,,,Technical,Lead,University,,,Important,Essential,Essential,,Important,Essential,,Essential,Essential,,,Not important,Not important,,Essential,Essential,Essential,Essential,jupyter;rstudio,,Essential,matlab;python;r,,Essential,Essential,anaconda,,Essential,Essential,maple;mathematica;matlab;office;photoshop;sas;spss,,Essential,,Essential,Essential,Essential,Essential,Essential,,Essential,Essential,Essential,Important,,Essential,Essential,,Essential,Essential,Essential,,Essential,Essential,,Essential,Essential,Essential,,Essential,Nice to have,Essential,Nice to have,,Nice to have,Not important,,Essential,,,,,Essential,Essential,,,Essential,Important,Essential,Important,Essential,,,
,,,Governance,Lead,University,,,Essential,Essential,Nice to have,,Essential,Nice to have,,Nice to have,Essential,,,Essential,Essential,,Essential,Important,No opinion,Essential,jupyter;rstudio,,Essential,python;r,,Not important,Important,,,Essential,Essential,matlab;sas;stata,,No opinion,,Essential,Essential,Essential,Essential,Essential,,Nice to have,Important,Essential,Essential,,Essential,Important,,Essential,Essential,Nice to have,,Important,Important,,Nice to have,Nice to have,Nice to have,,Nice to have,Nice to have,Nice to have,Important,,No opinion,No opinion,,Essential,,,,,Important,Nice to have,,,Essential,Essential,Essential,Essential,Essential,,,
,,,Research,Standard,Research institution,,,Essential,Essential,Essential,,Important,Nice to have,,Important,Nice to have,,,Essential,Nice to have,,Important,Important,Nice to have,Nice to have,,,Essential,r,,Not important,Important,,,No opinion,No opinion,,,No opinion,,Not important,Important,Essential,Essential,Essential,,Nice to have,Important,Important,Nice to have,,Essential,Important,,Nice to have,Essential,Nice to have,,Nice to have,Nice to have,,No opinion,Nice to have,No opinion,,Nice to have,Nice to have,Nice to have,Nice to have,,Not important,Nice to have,,Essential,,,,,Important,Essential,,,Nice to have,Important,Important,Essential,Essential,,,
,,,Research,Standard,Industry,,,Essential,Essential,Nice to have,,Essential,Nice to have,,No opinion,No opinion,,,No opinion,Essential,,Essential,Essential,Essential,Essential,,,Essential,,                            ,Nice to have,Nice to have,,,Essential,Essential,,,Nice to have,,Nice to have,Essential,Essential,Important,Nice to have,,Nice to have,Essential,Essential,Nice to have,,Essential,Important,,Important,Nice to have,Nice to have,,Nice to have,Nice to have,,Nice to have,Nice to have,Nice to have,,Nice to have,No opinion,Nice to have,Nice to have,,Nice to have,No opinion,,Important,,,,,Nice to have,Nice to have,,,Essential,Essential,Essential,Essential,Essential,,,
